Id,SalePrice
1461,121095.490266171
1462,155299.991320395
1463,183584.175847989
1464,190936.985030713
1465,211985.48275597
1466,173647.076127212
1467,178895.82600025
1468,162337.258687675
1469,195020.548154122
1470,121799.246473782
1471,189282.982912509
1472,98089.6853360613
1473,95886.4698374663
1474,143367.527757411
1475,115369.466571788
1476,348842.944766491
1477,249123.36758087
1478,321496.222845392
1479,309715.793256935
1480,447612.688674382
1481,315100.41729022
1482,222794.252170548
1483,177850.6968824
1484,169051.382721556
1485,180353.856778564
1486,195466.369953106
1487,334825.620236683
1488,232739.761324175
1489,194883.801683965
1490,236342.614938341
1491,191415.950851018
1492,93727.9755951623
1493,202251.323689807
1494,297615.607981985
1495,292741.705985298
1496,239954.474875553
1497,182694.222247199
1498,174556.974130649
1499,161321.522907657
1500,155555.164573041
1501,172109.901527949
1502,148941.139471926
1503,277100.089246217
1504,241724.502220477
1505,224854.103019542
1506,186769.342939779
1507,234749.003507698
1508,198045.55801397
1509,157043.318834346
1510,143731.419340158
1511,155044.097688965
1512,167851.642186723
1513,145427.278010356
1514,152805.623207134
1515,199358.817787548
1516,156459.471158983
1517,176955.073131142
1518,139760.378128814
1519,209036.502398959
1520,128315.593620088
1521,135683.98237207
1522,173814.111954842
1523,114312.742104093
1524,126786.009958444
1525,121220.551653233
1526,117477.503829806
1527,112772.865874895
1528,140089.124630743
1529,149581.777301493
1530,184817.452510468
1531,110632.025065677
1532,91997.3642146702
1533,140458.28704434
1534,125350.598908772
1535,145731.706868073
1536,103740.764135366
1537,61809.5961255739
1538,150916.886993755
1539,194483.129662438
1540,93767.1869537664
1541,144095.525257813
1542,141199.29286131
1543,174116.999842242
1544,83871.6185139688
1545,112265.897045083
1546,135587.676408381
1547,128569.843066587
1548,133948.992022902
1549,123191.73381495
1550,139464.935742617
1551,104630.053046483
1552,138043.285338635
1553,144305.223248302
1554,122281.925587987
1555,169646.230908322
1556,88997.8845622791
1557,103763.027392479
1558,102207.516413896
1559,64263.2654840758
1560,137474.581614106
1561,117489.233023197
1562,129344.826010319
1563,121221.419089958
1564,159628.468421945
1565,155319.733311107
1566,241441.904246565
1567,80609.4708988883
1568,235899.265011922
1569,127585.477400309
1570,140225.083391631
1571,122166.841800206
1572,140125.175778111
1573,229695.25850673
1574,119269.776574398
1575,239422.576932348
1576,236086.997451551
1577,182371.138585033
1578,153922.403075118
1579,149362.014926502
1580,195893.002339462
1581,160988.234782655
1582,122488.134966143
1583,273412.828617638
1584,217305.055890194
1585,139289.718505942
1586,71739.3307153303
1587,103923.822402627
1588,146573.676255674
1589,97167.5789416242
1590,130023.691548889
1591,96806.7698245071
1592,112905.237265517
1593,123357.48738611
1594,127788.528248131
1595,114372.785980708
1596,215683.365254617
1597,204491.673332112
1598,208114.479140112
1599,177357.087656045
1600,175900.641398423
1601,63758.9623171134
1602,121219.100200585
1603,66540.3753537853
1604,258388.430971435
1605,239396.152103361
1606,170816.671570499
1607,174175.64777358
1608,214581.472225175
1609,180912.326538224
1610,145227.41542303
1611,141303.166015735
1612,170363.421560424
1613,164430.669288189
1614,125104.117015798
1615,92163.386739371
1616,79621.0478815463
1617,90428.8728521791
1618,132722.354183044
1619,135767.235763357
1620,157083.974545983
1621,134930.489563797
1622,140629.603120955
1623,252495.307782859
1624,207585.956908609
1625,122066.202678273
1626,170388.513871028
1627,189911.004032157
1628,285482.193955081
1629,176468.51605132
1630,341223.899738615
1631,231328.185377724
1632,248092.572615415
1633,172940.328482824
1634,184623.38472713
1635,173586.59541121
1636,155286.239903709
1637,191897.210147453
1638,186531.667645395
1639,185932.826699836
1640,245855.043832759
1641,187152.645688697
1642,238897.937657378
1643,225066.452179294
1644,240171.77058522
1645,201081.973886371
1646,158115.312384866
1647,168324.811301833
1648,131101.590422836
1649,136331.490901506
1650,113164.763815789
1651,126756.473313669
1652,96377.2375406032
1653,97750.4042233645
1654,145477.005008884
1655,144817.896492608
1656,143652.850166142
1657,148242.864322617
1658,148622.7311997
1659,120024.793381192
1660,159574.231225075
1661,426586.279019785
1662,397994.31558805
1663,357821.535020229
1664,412642.809450418
1665,307452.613292422
1666,334390.299803509
1667,355235.273933043
1668,328342.97728552
1669,317102.778349777
1670,341390.509086242
1671,254689.630748
1672,396068.762200872
1673,289176.425526964
1674,245453.021686646
1675,203441.296030095
1676,199874.773968307
1677,222349.73322745
1678,435153.052046416
1679,376946.428374223
1680,324273.271084935
1681,256215.297909462
